score,kind,file,function,start_line,evidence_line,details,excerpt
88,lost-update-counter,host_bridge.c,kain_host_bridge_count_services_for_module,401,413,count-like state mutates without lock or atomic primitive,"int kain_host_bridge_count_services_for_module( || const KainHostBridgeRegistry* registry, || const char* module_id"
88,lost-update-counter,input_system.c,abi_input_name_add,148,160,count-like state mutates without lock or atomic primitive,"static int abi_input_name_add(char names[][ABI_INPUT_MAX_KEY], int64_t* count, int64_t capacity, const char* name) { || if (abi_input_text_empty(name)) { || return 0;"
88,lost-update-counter,input_system.c,abi_input_axis_add,239,256,count-like state mutates without lock or atomic primitive,"static int abi_input_axis_add(KainNativeInputSession* session, const char* axis, double value) { || int64_t i; || if (!session || abi_input_text_empty(axis)) {"
88,lost-update-counter,input_system.c,abi_input_reduce_event,298,313,count-like state mutates without lock or atomic primitive,"static void abi_input_reduce_event(KainNativeInputSession* session, const KainNativeInputEvent* event) { || const KainNativeInputBinding* action_binding; || const KainNativeInputBinding* axis_binding;"
88,lost-update-counter,input_system.c,abi_input_session_count,392,398,count-like state mutates without lock or atomic primitive,int64_t abi_input_session_count(void) { || int i; || int64_t count = 0;
88,lost-update-counter,input_system.c,abi_input_bind_action,404,423,count-like state mutates without lock or atomic primitive,"int64_t abi_input_bind_action( || int64_t session_id, || const char* source_kind,"
88,lost-update-counter,input_system.c,abi_input_bind_axis,434,454,count-like state mutates without lock or atomic primitive,"int64_t abi_input_bind_axis( || int64_t session_id, || const char* source_kind,"
88,lost-update-counter,input_system.c,abi_input_push_event,465,487,count-like state mutates without lock or atomic primitive,"int64_t abi_input_push_event( || int64_t session_id, || const char* source_kind,"
88,lost-update-counter,input_system.c,abi_input_push_agent_intent,506,525,count-like state mutates without lock or atomic primitive,"int64_t abi_input_push_agent_intent( || int64_t session_id, || const char* source_id,"
88,lost-update-counter,input_system.c,abi_input_replay_trace,672,698,count-like state mutates without lock or atomic primitive,"int64_t abi_input_replay_trace(int64_t session_id, const char* trace_text) { || char* buffer; || char* line;"
88,lost-update-counter,json.c,json_object_set_value,360,388,count-like state mutates without lock or atomic primitive,"static void json_object_set_value(KainJsonValue* object, const char* key, KainJsonValue* value) { || int64_t i; || if (!object || object->kind != KAIN_JSON_OBJECT || !key || !value) {"
88,lost-update-counter,json.c,json_parse_array,683,698,count-like state mutates without lock or atomic primitive,} || static KainJsonValue* json_parse_array(KainJsonParser* parser) { || KainJsonValue* array = json_value_new(KAIN_JSON_ARRAY);
88,lost-update-counter,json.c,json_parse_value_inner,750,921,count-like state mutates without lock or atomic primitive,static KainJsonValue* json_parse_value_inner(KainJsonParser* parser) { || char* text; || json_skip_ws(parser);
88,lost-update-counter,net_system.c,abi_net_set_header,1039,1057,count-like state mutates without lock or atomic primitive,"static void abi_net_set_header(KainNativeNetHeader* headers, int64_t* header_count, const char* key, const char* value) { || int64_t index; || if (headers == 0 || header_count == 0 || key == 0 || key[0] == '\0') {"
88,lost-update-counter,net_system.c,abi_net_store_http_response,1391,1417,count-like state mutates without lock or atomic primitive,"static int64_t abi_net_store_http_response( || int64_t status_code, || const char* protocol_name,"
