risk_score,file,function,start_line,end_line,body_lines,size_terms,guard_hits,lock_hits,once_hits,atomic_hits,alloc_hits,destroy_hits,arithmetic_lines,pointer_lines,global_write_lines,init_flag_lines,count_like_writes,token_density,reasons,signature,excerpt
25,actor.c,kain_actor_table_remove,1898,1929,32,index|mask|size|word,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,,,3,4,3,0,0,15,touches size/count/capacity vocabulary | dense pointer or indexing traffic,static void kain_actor_table_remove(KainActorId actor_id) {,static void kain_actor_table_remove(KainActorId actor_id) { || KainActorState_Internal* actor; || size_t word_index;
25,async.c,kain_async_sleep_task_fn,634,664,31,,,,,atomic_,,,10,6,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"static KainPollResult kain_async_sleep_task_fn( KainFutureContext* context, void* user_data, void** result ) {","static KainPollResult kain_async_sleep_task_fn( || KainFutureContext* context, || void* user_data,"
25,core.c,pop,605,611,7,,,,,,,,5,5,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,long long pop(void* arr_ptr) {,long long pop(void* arr_ptr) { || KainArray* arr = (KainArray*)arr_ptr; || if (!arr || arr->len <= 0) return 0;
25,cpu.c,abi_cpuid,42,72,31,count,,,,,,,0,13,0,0,0,1,touches size/count/capacity vocabulary | dense pointer or indexing traffic,"static int abi_cpuid(int leaf, int subleaf, int out[4]) {","static int abi_cpuid(int leaf, int subleaf, int out[4]) { || #if defined(_MSC_VER) || __cpuidex(out, leaf, subleaf);"
25,input_system.c,abi_input_binding_matches,179,191,13,,,,,,,,7,6,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"static int abi_input_binding_matches(const KainNativeInputBinding* binding, const KainNativeInputEvent* event) {","static int abi_input_binding_matches(const KainNativeInputBinding* binding, const KainNativeInputEvent* event) { || if (!binding || !event || !binding->in_use) { || return 0;"
25,machine_stones.c,kain_machine_pulse_stop_all,440,462,23,count|slot,,,,atomic_,,CloseHandle(,1,2,5,0,0,4,touches size/count/capacity vocabulary | destructive teardown after lock release,void kain_machine_pulse_stop_all(void) {,"void kain_machine_pulse_stop_all(void) { || uint32_t i; || atomic_store_explicit(&g_machine_pulse_stop_requested, 1, memory_order_release);"
25,memory.c,kain_pointer_with_signed_byte_offset,160,179,20,offset,UINTPTR_MAX|kain_add_overflow|kain_sub_underflow|overflow|underflow,,,,,,2,5,0,0,0,5,touches size/count/capacity vocabulary | dense pointer or indexing traffic,"static int kain_pointer_with_signed_byte_offset(void* ptr, int64_t byte_offset, void** out) {","static int kain_pointer_with_signed_byte_offset(void* ptr, int64_t byte_offset, void** out) { || uintptr_t base_address = (uintptr_t)ptr; || uintptr_t result_address = 0;"
25,net_system.c,abi_net_header_key_eq_ci,212,227,16,header|index|length|size,,,,,,,2,4,0,0,0,14,touches size/count/capacity vocabulary | dense pointer or indexing traffic,"static int abi_net_header_key_eq_ci(const unsigned char* text, size_t length, const char* expected) {","static int abi_net_header_key_eq_ci(const unsigned char* text, size_t length, const char* expected) { || size_t index = 0u; || if (expected == 0) {"
25,net_system.c,abi_http_server_listen,2260,2276,17,,,,,,,,7,5,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,int64_t abi_http_server_listen(int64_t server_id) {,int64_t abi_http_server_listen(int64_t server_id) { || KainNativeHttpServer* server = abi_net_server(server_id); || if (server == 0) {
25,ownership.c,kain_ownership_find_helper_slot_unlocked,301,312,12,header|payload|slot,,,,,,,3,4,0,0,0,9,touches size/count/capacity vocabulary | dense pointer or indexing traffic,static int kain_ownership_find_helper_slot_unlocked(const void* ptr) {,static int kain_ownership_find_helper_slot_unlocked(const void* ptr) { || if (ptr == NULL) { || return -1;
25,ownership.c,__kain_ownership_ensure_imported,406,427,22,header|region|slot,,kain_ownership_lock(|kain_ownership_unlock(,,,,,3,4,0,0,0,5,touches size/count/capacity vocabulary | dense pointer or indexing traffic,int __kain_ownership_ensure_imported(const void* ptr) {,int __kain_ownership_ensure_imported(const void* ptr) { || if (ptr == NULL) { || return kain_ownership_fail(KAIN_OWNERSHIP_ERR_INVALID);
25,reflection.c,reflection_query_matches_item,579,619,41,,,,,,,,16,14,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"int reflection_query_matches_item( const KainRuntimeReflectionQuery* query, const KainItemMetadata* metadata ) {","int reflection_query_matches_item( || const KainRuntimeReflectionQuery* query, || const KainItemMetadata* metadata"
25,services.c,kain_service_registry_register_descriptor,828,848,21,,,,,,,,11,8,0,0,0,0,multiple arithmetic sites in one function | dense pointer or indexing traffic,"int kain_service_registry_register_descriptor( KainServiceRegistry* registry, const KainServiceDescriptor* descriptor ) {","int kain_service_registry_register_descriptor( || KainServiceRegistry* registry, || const KainServiceDescriptor* descriptor"
20,core.c,emit_diagnostic,66,81,16,,,,,,,,3,0,1,0,0,0,writes global state without obvious synchronization,"static void emit_diagnostic( KainDiagSubsystem subsystem, KainDiagSeverity severity, int code, const char* message, const char* detail ) {","static void emit_diagnostic( || KainDiagSubsystem subsystem, || KainDiagSeverity severity,"
20,core.c,runtime_clear_last_diagnostic,2027,2030,4,,,,,,,,0,0,1,0,0,0,writes global state without obvious synchronization,void runtime_clear_last_diagnostic(void) {,void runtime_clear_last_diagnostic(void) { || g_last_diagnostic_valid = 0; || }
20,input_system.c,abi_input_session,125,134,10,,,,,,,,2,2,1,0,0,0,writes global state without obvious synchronization,static KainNativeInputSession* abi_input_session(int64_t session_id) {,static KainNativeInputSession* abi_input_session(int64_t session_id) { || int i; || for (i = 0; i < ABI_INPUT_MAX_SESSIONS; i++) {
20,json.c,json_value_string_owned,175,184,10,,,,,,,free(,3,1,1,0,0,0,writes global state without obvious synchronization,static KainJsonValue* json_value_string_owned(char* text) {,static KainJsonValue* json_value_string_owned(char* text) { || KainJsonValue* json = json_value_new(KAIN_JSON_STRING); || if (!json) {
20,net_system.c,abi_net_http_version_token_from_protocol,514,524,11,,,,,,,,2,0,1,0,0,0,writes global state without obvious synchronization,static const char* abi_net_http_version_token_from_protocol(const char* protocol_name) {,static const char* abi_net_http_version_token_from_protocol(const char* protocol_name) { || const char* normalized = abi_net_normalize_protocol_name(protocol_name); || if (normalized == 0) {
20,stdlib_abi.c,abi_runtime_shutdown,548,570,23,,,,,,,,1,0,1,0,0,0,writes global state without obvious synchronization,int64_t abi_runtime_shutdown(void) {,int64_t abi_runtime_shutdown(void) { || #if KAIN_RUNTIME_INIT_NET_RESET || abi_net_reset();
15,actor.c,kain_attrition_actor_update_peak,153,167,15,count,,,,atomic_,,,1,0,0,0,0,3,touches size/count/capacity vocabulary,"static void kain_attrition_actor_update_peak( atomic_uint_least64_t* peak_counter, uint64_t candidate ) {","static void kain_attrition_actor_update_peak( || atomic_uint_least64_t* peak_counter, || uint64_t candidate"
15,actor.c,kain_attrition_actor_note_spawn_internal,168,183,16,count,,,,atomic_,,,2,0,0,0,0,9,touches size/count/capacity vocabulary,static void kain_attrition_actor_note_spawn_internal(int synthetic_reply_port) {,"static void kain_attrition_actor_note_spawn_internal(int synthetic_reply_port) { || uint64_t live_count = atomic_fetch_add_explicit( || &g_attrition_actor_live_count,"
15,actor.c,kain_attrition_actor_note_exit_internal,184,191,8,count,,,,atomic_,,,0,0,0,0,0,3,touches size/count/capacity vocabulary,static void kain_attrition_actor_note_exit_internal(int synthetic_reply_port) {,"static void kain_attrition_actor_note_exit_internal(int synthetic_reply_port) { || atomic_fetch_sub_explicit(&g_attrition_actor_live_count, 1u, memory_order_relaxed); || atomic_fetch_add_explicit(&g_attrition_actor_exit_count, 1u, memory_order_relaxed);"
