current_path	target_path	size_bytes	area	action
clang/include/clang/AST/Expr.h	llvm-kain/clang/include/ast/Expr.h	291450	clang	move
clang/include/clang/AST/ExprConcepts.h	llvm-kain/clang/include/ast/ExprConcepts.h	21230	clang	move
clang/include/clang/AST/ExprCXX.h	llvm-kain/clang/include/ast/ExprCXX.h	200290	clang	move
clang/include/clang/AST/ExprObjC.h	llvm-kain/clang/include/ast/ExprObjC.h	62366	clang	move
clang/include/clang/AST/ExprOpenMP.h	llvm-kain/clang/include/ast/ExprOpenMP.h	10993	clang	move
clang/include/clang/AST/ExternalASTMerger.h	llvm-kain/clang/include/ast/ExternalASTMerger.h	8350	clang	move
clang/include/clang/AST/ExternalASTSource.h	llvm-kain/clang/include/ast/ExternalASTSource.h	23202	clang	move
clang/include/clang/AST/FormatString.h	llvm-kain/clang/include/ast/FormatString.h	25433	clang	move
clang/include/clang/AST/GlobalDecl.h	llvm-kain/clang/include/ast/GlobalDecl.h	7596	clang	move
clang/include/clang/AST/HLSLResource.h	llvm-kain/clang/include/ast/HLSLResource.h	5187	clang	move
clang/include/clang/AST/IgnoreExpr.h	llvm-kain/clang/include/ast/IgnoreExpr.h	5257	clang	move
clang/include/clang/AST/InferAlloc.h	llvm-kain/clang/include/ast/InferAlloc.h	1222	clang	move
clang/include/clang/AST/JSONNodeDumper.h	llvm-kain/clang/include/ast/JSONNodeDumper.h	19703	clang	move
clang/include/clang/AST/LambdaCapture.h	llvm-kain/clang/include/ast/LambdaCapture.h	4835	clang	move
clang/include/clang/AST/LexicallyOrderedRecursiveASTVisitor.h	llvm-kain/clang/include/ast/LexicallyOrderedRecursiveASTVisitor.h	6060	clang	move
clang/include/clang/AST/LocInfoType.h	llvm-kain/clang/include/ast/LocInfoType.h	1878	clang	move
clang/include/clang/AST/Mangle.h	llvm-kain/clang/include/ast/Mangle.h	13898	clang	move
clang/include/clang/AST/MangleNumberingContext.h	llvm-kain/clang/include/ast/MangleNumberingContext.h	2660	clang	move
clang/include/clang/AST/MatrixUtils.h	llvm-kain/clang/include/ast/MatrixUtils.h	1735	clang	move
clang/include/clang/AST/NestedNameSpecifier.h	llvm-kain/clang/include/ast/NestedNameSpecifier.h	9086	clang	move
clang/include/clang/AST/NestedNameSpecifierBase.h	llvm-kain/clang/include/ast/NestedNameSpecifierBase.h	20810	clang	move
clang/include/clang/AST/NonTrivialTypeVisitor.h	llvm-kain/clang/include/ast/NonTrivialTypeVisitor.h	4199	clang	move
clang/include/clang/AST/NSAPI.h	llvm-kain/clang/include/ast/NSAPI.h	9462	clang	move
clang/include/clang/AST/ODRDiagsEmitter.h	llvm-kain/clang/include/ast/ODRDiagsEmitter.h	8493	clang	move
clang/include/clang/AST/ODRHash.h	llvm-kain/clang/include/ast/ODRHash.h	4411	clang	move
clang/include/clang/AST/OpenACCClause.h	llvm-kain/clang/include/ast/OpenACCClause.h	56819	clang	move
clang/include/clang/AST/OpenMPClause.h	llvm-kain/clang/include/ast/OpenMPClause.h	381628	clang	move
clang/include/clang/AST/OperationKinds.def	llvm-kain/clang/include/ast/OperationKinds.def	16203	clang	move
clang/include/clang/AST/OperationKinds.h	llvm-kain/clang/include/ast/OperationKinds.h	1541	clang	move
clang/include/clang/AST/OptionalDiagnostic.h	llvm-kain/clang/include/ast/OptionalDiagnostic.h	2453	clang	move
clang/include/clang/AST/OSLog.h	llvm-kain/clang/include/ast/OSLog.h	5171	clang	move
clang/include/clang/AST/ParentMap.h	llvm-kain/clang/include/ast/ParentMap.h	1934	clang	move
clang/include/clang/AST/ParentMapContext.h	llvm-kain/clang/include/ast/ParentMapContext.h	4570	clang	move
clang/include/clang/AST/pch.h	llvm-kain/clang/include/ast/pch.h	1165	clang	move
clang/include/clang/AST/PrettyDeclStackTrace.h	llvm-kain/clang/include/ast/PrettyDeclStackTrace.h	1404	clang	move
clang/include/clang/AST/PrettyPrinter.h	llvm-kain/clang/include/ast/PrettyPrinter.h	13356	clang	move
clang/include/clang/AST/PropertiesBase.td	llvm-kain/clang/include/ast/PropertiesBase.td	32319	clang	move
clang/include/clang/AST/QualTypeNames.h	llvm-kain/clang/include/ast/QualTypeNames.h	3729	clang	move
clang/include/clang/AST/Randstruct.h	llvm-kain/clang/include/ast/Randstruct.h	1035	clang	move
clang/include/clang/AST/RawCommentList.h	llvm-kain/clang/include/ast/RawCommentList.h	7780	clang	move
clang/include/clang/AST/RecordLayout.h	llvm-kain/clang/include/ast/RecordLayout.h	12910	clang	move
clang/include/clang/AST/RecursiveASTVisitor.h	llvm-kain/clang/include/ast/RecursiveASTVisitor.h	155056	clang	move
